"","City","Date","Count"
"325","ANTIOQUIA",2020-10-22,1923
"326","ANTIOQUIA",2020-11-22,672
"327","ANTIOQUIA",2020-03-22,11
"328","ANTIOQUIA",2020-04-22,3
"329","ANTIOQUIA",2020-05-22,99
"330","ANTIOQUIA",2020-06-22,299
"331","ANTIOQUIA",2020-07-22,1772
"332","ANTIOQUIA",2020-08-22,990
"333","ANTIOQUIA",2020-09-22,1598
"334","ANTIOQUIA",2020-10-23,1174
"335","ANTIOQUIA",2020-11-23,835
"336","ANTIOQUIA",2020-03-23,13
"337","ANTIOQUIA",2020-04-23,7
"338","ANTIOQUIA",2020-05-23,47
"339","ANTIOQUIA",2020-06-23,349
"340","ANTIOQUIA",2020-07-23,2225
"341","ANTIOQUIA",2020-08-23,675
"342","ANTIOQUIA",2020-09-23,1891
"343","ANTIOQUIA",2020-10-24,1155
"344","ANTIOQUIA",2020-11-24,728
"345","ANTIOQUIA",2020-03-24,10
"346","ANTIOQUIA",2020-04-24,5
"347","ANTIOQUIA",2020-05-24,36
"348","ANTIOQUIA",2020-06-24,371
"349","ANTIOQUIA",2020-07-24,2522
"350","ANTIOQUIA",2020-08-24,1264
"351","ANTIOQUIA",2020-09-24,1985
"352","ANTIOQUIA",2020-10-25,1486
"353","ANTIOQUIA",2020-11-25,594
"354","ANTIOQUIA",2020-03-25,11
"355","ANTIOQUIA",2020-04-25,5
"356","ANTIOQUIA",2020-05-25,62
"357","ANTIOQUIA",2020-06-25,397
"358","ANTIOQUIA",2020-07-25,1841
"359","ANTIOQUIA",2020-08-25,1195
"360","ANTIOQUIA",2020-09-25,1710
"361","ANTIOQUIA",2020-10-26,1888
"362","ANTIOQUIA",2020-11-26,348
"363","ANTIOQUIA",2020-03-26,15
"364","ANTIOQUIA",2020-04-26,1
"365","ANTIOQUIA",2020-05-26,61
"366","ANTIOQUIA",2020-06-26,479
"367","ANTIOQUIA",2020-07-26,1349
"368","ANTIOQUIA",2020-08-26,1333
"369","ANTIOQUIA",2020-09-26,1005
"370","ANTIOQUIA",2020-10-27,1737
"371","ANTIOQUIA",2020-11-27,174
"372","ANTIOQUIA",2020-03-27,8
"373","ANTIOQUIA",2020-04-27,2
"374","ANTIOQUIA",2020-05-27,40
"375","ANTIOQUIA",2020-06-27,381
"376","ANTIOQUIA",2020-07-27,1583
"377","ANTIOQUIA",2020-08-27,1331
"378","ANTIOQUIA",2020-09-27,1194
"379","ANTIOQUIA",2020-10-28,1642
"380","ANTIOQUIA",2020-11-28,65
"381","ANTIOQUIA",2020-03-28,7
"382","ANTIOQUIA",2020-04-28,5
"383","ANTIOQUIA",2020-05-28,101
"384","ANTIOQUIA",2020-06-28,442
"385","ANTIOQUIA",2020-07-28,1429
"386","ANTIOQUIA",2020-08-28,1149
"387","ANTIOQUIA",2020-09-28,2296
"388","ANTIOQUIA",2020-10-29,1472
"389","ANTIOQUIA",2020-11-29,15
"390","ANTIOQUIA",2020-02-29,1
"391","ANTIOQUIA",2020-03-29,3
"392","ANTIOQUIA",2020-04-29,3
"393","ANTIOQUIA",2020-05-29,107
"394","ANTIOQUIA",2020-06-29,617
"395","ANTIOQUIA",2020-07-29,1306
"396","ANTIOQUIA",2020-08-29,1061
"397","ANTIOQUIA",2020-09-29,1907
"398","ANTIOQUIA",2020-10-03,1410
"399","ANTIOQUIA",2020-11-03,1077
"400","ANTIOQUIA",2020-04-03,7
"401","ANTIOQUIA",2020-05-03,3
"402","ANTIOQUIA",2020-06-03,89
"403","ANTIOQUIA",2020-07-03,1055
"404","ANTIOQUIA",2020-08-03,1300
"405","ANTIOQUIA",2020-09-03,1133
"406","ANTIOQUIA",2020-10-30,1158
"407","ANTIOQUIA",2020-11-30,2
"408","ANTIOQUIA",2020-03-30,10
"409","ANTIOQUIA",2020-04-30,4
"410","ANTIOQUIA",2020-05-30,59
"411","ANTIOQUIA",2020-06-30,864
"412","ANTIOQUIA",2020-07-30,1280
"413","ANTIOQUIA",2020-08-30,1069
"414","ANTIOQUIA",2020-09-30,2338
